k,index,transitivity,filename
3,0,0.005,3_regular_0.txt
3,1,0.014,3_regular_1.txt
3,2,0.024,3_regular_2.txt
3,3,0.034,3_regular_3.txt
3,4,0.043,3_regular_4.txt
3,5,0.055,3_regular_5.txt
3,6,0.065,3_regular_6.txt
3,7,0.075,3_regular_7.txt
3,8,0.084,3_regular_8.txt
3,9,0.094,3_regular_9.txt
3,10,0.104,3_regular_10.txt
3,11,0.113,3_regular_11.txt
3,12,0.123,3_regular_12.txt
3,13,0.133,3_regular_13.txt
3,14,0.142,3_regular_14.txt
3,15,0.154,3_regular_15.txt
3,16,0.164,3_regular_16.txt
3,17,0.173,3_regular_17.txt
3,18,0.183,3_regular_18.txt
3,19,0.193,3_regular_19.txt
3,20,0.202,3_regular_20.txt
3,21,0.212,3_regular_21.txt
3,22,0.222,3_regular_22.txt
3,23,0.231,3_regular_23.txt
3,24,0.243,3_regular_24.txt
3,25,0.251,3_regular_25.txt
3,26,0.263,3_regular_26.txt
3,27,0.272,3_regular_27.txt
3,28,0.282,3_regular_28.txt
3,29,0.292,3_regular_29.txt
3,30,0.301,3_regular_30.txt
3,31,0.311,3_regular_31.txt
3,32,0.32,3_regular_32.txt
3,33,0.33,3_regular_33.txt
3,34,0.34,3_regular_34.txt
3,35,0.352,3_regular_35.txt
3,36,0.361,3_regular_36.txt
3,37,0.371,3_regular_37.txt
3,38,0.381,3_regular_38.txt
3,39,0.39,3_regular_39.txt
3,40,0.4,3_regular_40.txt
3,41,0.41,3_regular_41.txt
3,42,0.419,3_regular_42.txt
3,43,0.429,3_regular_43.txt
3,44,0.439,3_regular_44.txt
3,45,0.451,3_regular_45.txt
3,46,0.46,3_regular_46.txt
3,47,0.47,3_regular_47.txt
3,48,0.479,3_regular_48.txt
3,49,0.489,3_regular_49.txt
4,0,0.003,4_regular_0.txt
4,1,0.016,4_regular_1.txt
4,2,0.0255,4_regular_2.txt
4,3,0.0355,4_regular_3.txt
4,4,0.045,4_regular_4.txt
4,5,0.0545,4_regular_5.txt
4,6,0.0645,4_regular_6.txt
4,7,0.074,4_regular_7.txt
4,8,0.0835,4_regular_8.txt
4,9,0.093,4_regular_9.txt
4,10,0.103,4_regular_10.txt
4,11,0.1125,4_regular_11.txt
4,12,0.122,4_regular_12.txt
4,13,0.1315,4_regular_13.txt
4,14,0.1415,4_regular_14.txt
4,15,0.151,4_regular_15.txt
4,16,0.1605,4_regular_16.txt
4,17,0.1735,4_regular_17.txt
4,18,0.183,4_regular_18.txt
4,19,0.193,4_regular_19.txt
4,20,0.2025,4_regular_20.txt
4,21,0.212,4_regular_21.txt
4,22,0.2215,4_regular_22.txt
4,23,0.2315,4_regular_23.txt
4,24,0.241,4_regular_24.txt
4,25,0.2505,4_regular_25.txt
4,26,0.26,4_regular_26.txt
4,27,0.27,4_regular_27.txt
4,28,0.2795,4_regular_28.txt
4,29,0.289,4_regular_29.txt
4,30,0.299,4_regular_30.txt
4,31,0.3085,4_regular_31.txt
4,32,0.318,4_regular_32.txt
4,33,0.331,4_regular_33.txt
4,34,0.3405,4_regular_34.txt
4,35,0.35,4_regular_35.txt
4,36,0.36,4_regular_36.txt
4,37,0.3695,4_regular_37.txt
4,38,0.379,4_regular_38.txt
4,39,0.389,4_regular_39.txt
4,40,0.3985,4_regular_40.txt
4,41,0.408,4_regular_41.txt
4,42,0.4175,4_regular_42.txt
4,43,0.4275,4_regular_43.txt
4,44,0.437,4_regular_44.txt
4,45,0.4465,4_regular_45.txt
4,46,0.456,4_regular_46.txt
4,47,0.466,4_regular_47.txt
4,48,0.4755,4_regular_48.txt
4,49,0.485,4_regular_49.txt
6,0,0.0034,6_regular_0.txt
6,1,0.0136,6_regular_1.txt
6,2,0.0238,6_regular_2.txt
6,3,0.0342,6_regular_3.txt
6,4,0.0444,6_regular_4.txt
6,5,0.0546,6_regular_5.txt
6,6,0.0648,6_regular_6.txt
6,7,0.0752,6_regular_7.txt
6,8,0.082,6_regular_8.txt
6,9,0.0922,6_regular_9.txt
6,10,0.1024,6_regular_10.txt
6,11,0.1126,6_regular_11.txt
6,12,0.1228,6_regular_12.txt
6,13,0.1332,6_regular_13.txt
6,14,0.1434,6_regular_14.txt
6,15,0.1536,6_regular_15.txt
6,16,0.1638,6_regular_16.txt
6,17,0.1706,6_regular_17.txt
6,18,0.181,6_regular_18.txt
6,19,0.1912,6_regular_19.txt
6,20,0.2014,6_regular_20.txt
6,21,0.2116,6_regular_21.txt
6,22,0.2218,6_regular_22.txt
6,23,0.2322,6_regular_23.txt
6,24,0.2424,6_regular_24.txt
6,25,0.2492,6_regular_25.txt
6,26,0.2594,6_regular_26.txt
6,27,0.2696,6_regular_27.txt
6,28,0.28,6_regular_28.txt
6,29,0.2902,6_regular_29.txt
6,30,0.3004,6_regular_30.txt
6,31,0.3106,6_regular_31.txt
6,32,0.3208,6_regular_32.txt
6,33,0.3278,6_regular_33.txt
6,34,0.338,6_regular_34.txt
6,35,0.3482,6_regular_35.txt
6,36,0.3584,6_regular_36.txt
6,37,0.3686,6_regular_37.txt
6,38,0.379,6_regular_38.txt
6,39,0.3892,6_regular_39.txt
6,40,0.3994,6_regular_40.txt
6,41,0.4096,6_regular_41.txt
6,42,0.4164,6_regular_42.txt
6,43,0.4268,6_regular_43.txt
6,44,0.437,6_regular_44.txt
6,45,0.4472,6_regular_45.txt
6,46,0.4574,6_regular_46.txt
6,47,0.4676,6_regular_47.txt
6,48,0.478,6_regular_48.txt
6,49,0.4882,6_regular_49.txt
10,0,0.0036,10_regular_0.txt
10,1,0.014466666666666666,10_regular_1.txt
10,2,0.025333333333333333,10_regular_2.txt
10,3,0.03613333333333334,10_regular_3.txt
10,4,0.0434,10_regular_4.txt
10,5,0.0542,10_regular_5.txt
10,6,0.06506666666666666,10_regular_6.txt
10,7,0.07226666666666667,10_regular_7.txt
10,8,0.08313333333333334,10_regular_8.txt
10,9,0.094,10_regular_9.txt
10,10,0.1048,10_regular_10.txt
10,11,0.11206666666666666,10_regular_11.txt
10,12,0.12286666666666667,10_regular_12.txt
10,13,0.13373333333333334,10_regular_13.txt
10,14,0.14093333333333333,10_regular_14.txt
10,15,0.1518,10_regular_15.txt
10,16,0.16266666666666665,10_regular_16.txt
10,17,0.17346666666666666,10_regular_17.txt
10,18,0.18073333333333333,10_regular_18.txt
10,19,0.19153333333333333,10_regular_19.txt
10,20,0.2024,10_regular_20.txt
10,21,0.20966666666666667,10_regular_21.txt
10,22,0.22046666666666667,10_regular_22.txt
10,23,0.23133333333333334,10_regular_23.txt
10,24,0.2422,10_regular_24.txt
10,25,0.2494,10_regular_25.txt
10,26,0.26026666666666665,10_regular_26.txt
10,27,0.2710666666666667,10_regular_27.txt
10,28,0.2819333333333333,10_regular_28.txt
10,29,0.28913333333333335,10_regular_29.txt
10,30,0.3,10_regular_30.txt
10,31,0.3108666666666667,10_regular_31.txt
10,32,0.31806666666666666,10_regular_32.txt
10,33,0.32893333333333336,10_regular_33.txt
10,34,0.33973333333333333,10_regular_34.txt
10,35,0.3506,10_regular_35.txt
10,36,0.3578,10_regular_36.txt
10,37,0.36866666666666664,10_regular_37.txt
10,38,0.37953333333333333,10_regular_38.txt
10,39,0.3867333333333333,10_regular_39.txt
10,40,0.3976,10_regular_40.txt
10,41,0.40846666666666664,10_regular_41.txt
10,42,0.4192666666666667,10_regular_42.txt
10,43,0.4265333333333333,10_regular_43.txt
10,44,0.43733333333333335,10_regular_44.txt
10,45,0.4482,10_regular_45.txt
10,46,0.4554,10_regular_46.txt
10,47,0.46626666666666666,10_regular_47.txt
10,48,0.47713333333333335,10_regular_48.txt
10,49,0.48793333333333333,10_regular_49.txt
